时间_s,无吸收边界带能量,PML边界带能量,PML相对无吸收比值
1.47393296636294,22666.9895837331,7744.77243783711,0.341676269326701
1.47439227859927,22670.1713500722,7737.83571141308,0.341322330207639
1.47485159083559,22673.3682368066,7730.87561240222,0.340967232202067
1.47531090307191,22676.4813099804,7723.89205430952,0.340612458728775
1.47577021530824,22679.4119680923,7716.8851727556,0.34025949101381
1.47622952754456,22682.0631681072,7709.85529679784,0.339909788613874
1.47668883978089,22684.3406283505,7702.80291782527,0.339564770430155
1.47714815201721,22686.1539919972,7695.72865692888,0.339225796476725
1.47760746425353,22687.4179354193,7688.63323165166,0.338894150649391
1.47806677648986,22688.0532064584,7681.51742300303,0.338571024719583
1.47852608872618,22687.9875787142,7674.38204358463,0.338257503754309
1.4789854009625,22687.1567091772,7667.22790761604,0.337954553137748
1.47944471319883,22685.5048879719,7660.05580357485,0.337663007343351
1.47990402543515,22682.9856705857,7652.86647007537,0.33738356057771
1.48036333767148,22679.5623847183,7645.66057550737,0.337116759389462
1.4808226499078,22675.2085057716,7638.43870184371,0.336862997308249
1.48128196214412,22669.9078969738,7631.20133290449,0.336622511550794
1.48174127438045,22663.6549121698,7623.94884724104,0.336395381803453
1.48220058661677,22656.4543613713,7616.68151567603,0.336181531063496
1.48265989885309,22648.3213412185,7609.39950341131,0.335980728494993
1.48311921108942,22639.2809345172,7602.10287649431,0.335792594229603
1.48357852332574,22629.3677849565,7594.791612321,0.335616606018037
1.48403783556207,22618.625554941,7587.46561374991,0.335452107614577
1.48449714779839,22607.1062761612,7580.12472631107,0.335298318754939
1.48495646003471,22594.8696040486,7572.76875791729,0.335154346567257
1.48541577227104,22581.9819885901,7565.3975004249,0.335019198237224
1.48587508450736,22568.5157750839,7558.01075234835,0.334891794731692
1.48633439674368,22554.5482492984,7550.60834200857,0.334770985370697
1.48679370898001,22540.1606421199,7543.19015038946,0.334655563026193
1.48725302121633,22525.4371091422,7535.75613299002,0.334544279717064
1.48771233345266,22510.4637007575,7528.30633999102,0.334435862364651
1.48817164568898,22495.3273381463,7520.84093410452,0.334329028471219
1.4886309579253,22480.1148101496,7513.36020553922,0.334222501485934
1.48909027016163,22464.9118053388,7505.86458359456,0.334115025629025
1.48954958239795,22449.8019927005,7498.35464448843,0.334005379955088
1.49000889463427,22434.8661632392,7490.83111512552,0.333892391450932
1.4904682068706,22420.1814434915,7483.29487262304,0.33377494698177
1.49092751910692,22405.8205904739,7475.74693952497,0.333652003921846
1.49138683134325,22391.8513759727,7468.18847475277,0.33352259933122
1.49184614357957,22378.3360663666,7460.62076045546,0.333385857569114
1.49230545581589,22365.3310023807,7453.04518503447,0.333240996265208
1.49276476805222,22352.8862813379,7445.46322272328,0.333087330603001
1.49322408028854,22341.0455426364,7437.87641019822,0.332924275903003
1.49368339252486,22329.8458553708,7430.28632078148,0.332751348527304
1.49414270476119,22319.3177052666,7422.69453686791,0.332568165160192
1.49460201699751,22309.4850764385,7415.10262126312,0.332374440551044
1.49506132923384,22300.3656219486,7407.51208815899,0.332169983835078
1.49552064147016,22291.9709157484,7399.92437449327,0.331954693573798
1.49597995370648,22284.3067773704,7392.34081244322,0.3317285516797
1.49643926594281,22277.3736597027,7384.76260378636,0.331491616408292
1.49689857817913,22271.1670893542,7377.19079682796,0.331244014614497
1.49735789041545,22265.678148508,7369.62626654276,0.330985933479712
1.49781720265178,22260.8939867703,7362.06969851047,0.330717611920067
1.4982765148881,22256.7983513609,7354.52157714198,0.33043933188586
1.49873582712443,22253.3721240517,7346.98217859734,0.330151409756755
1.49919513936075,22250.5938535385,7339.45156869012,0.329854188027567
1.49965445159707,22248.4402724158,7331.92960595841,0.329548027465491
1.5001137638334,22246.8867886093,7324.41594996216,0.329233299902095
1.50057307606972,22245.9079419785,7316.91007474382,0.328910381802698
1.50103238830605,22245.4778178182,7309.41128726588,0.328579648732524
1.50149170054237,22245.5704101455,7301.91875051933,0.328241470813855
1.50195101277869,22246.1599289233,7294.43151088224,0.327896209241865
1.50241032501502,22247.2210467264,7286.94852920191,0.327544213899657
1.50286963725134,22248.7290817682,7279.46871497874,0.327185822085627
1.50332894948766,22250.6601156569,7271.99096294814,0.326821358339437
1.50378826172399,22252.9910456995,7264.51419128954,0.326451135326972
1.50424757396031,22255.6995730082,7257.03738064128,0.326075455720234
1.50470688619664,22258.7641290506,7249.55961306772,0.325694614985659
1.50516619843296,22262.1637446004,7242.08011011082,0.325308904974134
1.50562551066928,22265.877866275,7234.59826906398,0.3249186181885
1.50608482290561,22269.8861269518,7227.11369662989,0.324524052589717
1.50654413514193,22274.1680773429,7219.62623916736,0.324125516791404
1.50700344737825,22278.7028868369,7212.13600879231,0.323723335484379
1.50746275961458,22283.4690223941,7204.64340467558,0.323317854928026
1.5079220718509,22288.4439147866,7197.14912897191,0.32290944834409
1.50838138408723,22293.6036218042,7189.65419691921,0.322498521050557
1.50884069632355,22298.9224981966,7182.15994076287,0.322085515178759
1.50930000855987,22304.3728820878,7174.66800728342,0.321670913825389
1.5097593207962,22309.9248073901,7167.18034883495,0.3212552445027
1.51021863303252,22315.5457513541,7159.69920793382,0.320839081764306
1.51067794526884,22321.2004258387,7152.22709556905,0.32042304890062
1.51113725750517,22326.8506201678,7144.76676353497,0.320007818616439
1.51159656974149,22332.4551025841,7137.3211712102,0.319594112623307
1.51205588197782,22337.9695863136,7129.89344732248,0.319182700100503
1.51251519421414,22343.3467651472,7122.48684734382,0.318774395000395
1.51297450645046,22348.5364222356,7115.1047072522,0.318370052196038
1.51343381868679,22353.4856145048,7107.75039447387,0.317970562490789
1.51389313092311,22358.1389337502,7100.42725688106,0.317576846530942
1.51435244315943,22362.4388440762,7093.13857076404,0.317189847682602
1.51481175539576,22366.3260939437,7085.88748872142,0.316810523952798
1.51527106763208,22369.7401996793,7078.67698841975,0.316439839051918
1.51573037986841,22372.6199959276,7071.50982316074,0.316078752709694
1.51618969210473,22374.9042471883,7064.38847516439,0.315728210369978
