time_s,vz_taylor,vz_optimized,vx_taylor,vx_optimized
0.402969935,1.47675587e-25,1.18772186e-21,1.30001915e-25,9.58856642e-22
0.404768908,-7.87863671e-26,1.66544173e-21,-2.82396215e-26,1.37240134e-21
0.406567881,-4.53722235e-25,1.74981297e-21,-3.01994898e-25,1.47085705e-21
0.408366854,-9.2717056e-25,1.16698259e-21,-6.59800964e-25,1.02230123e-21
0.410165827,-1.36506793e-24,-2.47921723e-22,-1.00727172e-24,-1.18975982e-22
0.4119648,-1.5429422e-24,-2.41833401e-21,-1.18002817e-24,-1.9012371e-21
0.413763773,-1.17492179e-24,-4.91427075e-21,-9.62392873e-25,-3.97959293e-21
0.415562746,7.54405671e-27,-6.91842924e-21,-1.43354692e-25,-5.68407378e-21
0.417361719,2.12376852e-24,-7.32952005e-21,1.3864106e-24,-6.10151206e-21
0.419160692,4.97589777e-24,-5.04044018e-21,3.50787294e-24,-4.30369186e-21
0.420959665,7.89085525e-24,6.20131466e-22,5.75032454e-24,2.86536019e-22
0.422758638,9.64830292e-24,9.36636121e-21,7.22769642e-24,7.45994231e-21
0.42455761,8.59065889e-24,1.95171863e-20,6.70701121e-24,1.58519923e-20
0.426356583,3.00456961e-24,2.78634836e-20,2.87836008e-24,2.28257114e-20
0.428155556,-8.18656266e-24,3.00658184e-20,-5.1394066e-24,2.47951948e-20
0.429954529,-2.44826519e-23,2.17239704e-20,-1.70986886e-23,1.81086748e-20
0.431753502,-4.2835074e-23,7.28527424e-23,-3.08833913e-23,4.54193141e-22
0.433552475,-5.70298531e-23,-3.40121693e-20,-4.20138166e-23,-2.74761142e-20
0.435351448,-5.79462167e-23,-7.43138389e-20,-4.37844272e-23,-6.05744674e-20
0.437150421,-3.52229918e-23,-1.08707062e-19,-2.8438425e-23,-8.88512964e-20
0.438949394,1.93353744e-23,-1.20573077e-19,1.03586863e-23,-9.86157172e-20
0.440748367,1.06763193e-22,-9.27304243e-20,7.3836355e-23,-7.57434009e-20
0.44254734,2.15261783e-22,-1.37377617e-20,1.53881847e-22,-1.09006118e-20
0.444346313,3.1569559e-22,1.14567957e-19,2.2959862e-22,9.42343861e-20
0.446145286,3.60935159e-22,2.70519033e-19,2.66641501e-22,2.21610135e-19
0.447944258,2.92059295e-22,4.10082493e-19,2.21575645e-22,3.34819904e-19
0.449743231,5.37763875e-23,4.71459386e-19,5.30445317e-23,3.83062858e-19
0.451542204,-3.80633611e-22,3.88877129e-19,-2.59972845e-22,3.12702064e-19
0.453341177,-9.7816511e-22,1.15242799e-19,-6.9519617e-22,8.60559872e-20
0.45514015,-1.61681666e-21,-3.50189782e-19,-1.16529223e-21,-2.95870835e-19
0.456939123,-2.0711696e-21,-9.36882279e-19,-1.50687319e-21,-7.73219505e-19
0.458738096,-2.02886183e-21,-1.49155675e-18,-1.49207732e-21,-1.21858814e-18
0.460537069,-1.15287059e-21,-1.79152141e-18,-8.73748504e-22,-1.44905132e-18
0.462336042,8.03231392e-22,-1.59069354e-18,5.30475631e-22,-1.265134e-18
0.464135015,3.83567958e-21,-6.98189788e-19,2.72149834e-21,-5.16154789e-19
0.465933988,7.5183191e-21,9.22737142e-19,5.39285746e-21,8.18729558e-19
0.467732961,1.08759021e-20,3.06134714e-18,7.83825054e-21,2.55567689e-18
